epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,2390.69,1.04064,0.64521,1.10661,0.91029,0.7844,0.83869,0.61777,0.86577,0.45358,1.00633,4.1095e-06,4.1095e-06,4.1095e-06
121,2410.48,1.04008,0.64599,1.10486,0.90946,0.7843,0.8383,0.6177,0.86579,0.45366,1.00637,4.06e-06,4.06e-06,4.06e-06
122,2430.31,1.04381,0.64764,1.10907,0.9106,0.78451,0.83864,0.61815,0.86524,0.45364,1.00634,4.0105e-06,4.0105e-06,4.0105e-06
123,2450.11,1.04084,0.64914,1.1102,0.90972,0.78399,0.83872,0.61847,0.86549,0.45341,1.00666,3.961e-06,3.961e-06,3.961e-06
124,2470.12,1.04242,0.64635,1.10961,0.91047,0.78345,0.83891,0.61877,0.8656,0.45318,1.00665,3.9115e-06,3.9115e-06,3.9115e-06
125,2489.85,1.03691,0.64485,1.10573,0.91091,0.78358,0.83896,0.61862,0.86608,0.45307,1.00711,3.862e-06,3.862e-06,3.862e-06
126,2509.81,1.04871,0.64704,1.11609,0.91121,0.78358,0.83905,0.61819,0.86609,0.45329,1.00706,3.8125e-06,3.8125e-06,3.8125e-06
127,2529.63,1.03903,0.64527,1.10586,0.91126,0.78358,0.83924,0.61826,0.86619,0.45345,1.00691,3.763e-06,3.763e-06,3.763e-06
128,2549.13,1.05052,0.65286,1.11494,0.91164,0.78358,0.8389,0.61826,0.86616,0.45308,1.00699,3.7135e-06,3.7135e-06,3.7135e-06
129,2568.93,1.04014,0.64701,1.10793,0.913,0.78358,0.83871,0.61817,0.86639,0.45282,1.00705,3.664e-06,3.664e-06,3.664e-06
130,2588.5,1.04361,0.64973,1.10947,0.9154,0.78345,0.83882,0.61878,0.86643,0.45267,1.00714,3.6145e-06,3.6145e-06,3.6145e-06
131,2608.02,1.04067,0.64943,1.10941,0.91666,0.78282,0.83872,0.61798,0.86634,0.45287,1.00704,3.565e-06,3.565e-06,3.565e-06
132,2627.77,1.04046,0.64921,1.11048,0.91673,0.78298,0.83873,0.6183,0.8661,0.45282,1.00703,3.5155e-06,3.5155e-06,3.5155e-06
133,2647.34,1.03825,0.64982,1.11233,0.91594,0.78303,0.83902,0.61774,0.86585,0.45342,1.00678,3.466e-06,3.466e-06,3.466e-06
134,2666.88,1.04302,0.65024,1.10998,0.91705,0.78298,0.83919,0.61743,0.86578,0.45307,1.0069,3.4165e-06,3.4165e-06,3.4165e-06
135,2686.51,1.04545,0.64799,1.10805,0.91617,0.78303,0.83924,0.61794,0.86578,0.45297,1.00684,3.367e-06,3.367e-06,3.367e-06
136,2706.05,1.04242,0.64946,1.11367,0.91778,0.78271,0.83933,0.6173,0.86574,0.45314,1.0068,3.3175e-06,3.3175e-06,3.3175e-06
137,2725.91,1.04672,0.6563,1.11239,0.91595,0.78308,0.83941,0.61731,0.86567,0.45307,1.00687,3.268e-06,3.268e-06,3.268e-06
138,2745.57,1.04524,0.65482,1.11331,0.91625,0.78338,0.83939,0.61723,0.86593,0.45273,1.00667,3.2185e-06,3.2185e-06,3.2185e-06
139,2765.47,1.05539,0.65625,1.1142,0.91554,0.78361,0.83929,0.61766,0.86563,0.45257,1.00666,3.169e-06,3.169e-06,3.169e-06
140,2785.32,1.03692,0.65094,1.10597,0.91606,0.78398,0.83936,0.61805,0.8657,0.45239,1.00657,3.1195e-06,3.1195e-06,3.1195e-06
141,2805.11,1.03939,0.6477,1.11082,0.91538,0.78395,0.83953,0.61822,0.86546,0.45248,1.00652,3.07e-06,3.07e-06,3.07e-06
142,2825.01,1.04127,0.65072,1.11045,0.9157,0.78482,0.83954,0.61788,0.8656,0.45245,1.00655,3.0205e-06,3.0205e-06,3.0205e-06
143,2844.85,1.04761,0.65535,1.11302,0.9159,0.78401,0.83955,0.61806,0.86529,0.45245,1.00647,2.971e-06,2.971e-06,2.971e-06
144,2864.7,1.0465,0.65452,1.11472,0.91562,0.78406,0.83957,0.61779,0.8653,0.45252,1.00641,2.9215e-06,2.9215e-06,2.9215e-06
145,2884.73,1.0388,0.6501,1.10586,0.91599,0.7842,0.8396,0.61834,0.86538,0.45251,1.00636,2.872e-06,2.872e-06,2.872e-06
146,2904.55,1.03378,0.64232,1.10608,0.91594,0.78373,0.83961,0.61781,0.86541,0.45228,1.00628,2.8225e-06,2.8225e-06,2.8225e-06
147,2924.5,1.0344,0.64909,1.10509,0.9156,0.78385,0.83955,0.61782,0.86532,0.4524,1.00629,2.773e-06,2.773e-06,2.773e-06
